"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 04 03:12:08 GMT 2023","Sat Feb 04 03:15:33 GMT 2023","205251","","","","","","emk24 -- @1.3 ",""
"passed","Sat Feb 04 02:36:19 GMT 2023","Sat Feb 04 02:36:30 GMT 2023","10860","","","","","","emkmet_ru секция 3",""
"passed","Sat Feb 04 02:47:56 GMT 2023","Sat Feb 04 02:51:11 GMT 2023","195148","","","","","","Заказать звонок emk24 -- @1.4 ",""
"passed","Sat Feb 04 02:54:29 GMT 2023","Sat Feb 04 02:56:18 GMT 2023","108617","","","","","","контакты emk24 -- @1.2 ",""
"passed","Sat Feb 04 03:15:33 GMT 2023","Sat Feb 04 03:17:27 GMT 2023","114549","","","","","","emk24 -- @1.4 ",""
"passed","Sat Feb 04 02:51:11 GMT 2023","Sat Feb 04 02:54:29 GMT 2023","197937","","","","","","контакты emk24 -- @1.1 ",""
"passed","Sat Feb 04 03:08:17 GMT 2023","Sat Feb 04 03:10:13 GMT 2023","115469","","","","","","emk24 -- @1.1 ",""
"passed","Sat Feb 04 02:36:30 GMT 2023","Sat Feb 04 02:38:11 GMT 2023","101244","","","","","","railws.com заказать звонок",""
"passed","Sat Feb 04 02:38:46 GMT 2023","Sat Feb 04 02:39:24 GMT 2023","38142","","","","","","корзина emk24 -- @1.1 ",""
"passed","Sat Feb 04 02:41:15 GMT 2023","Sat Feb 04 02:41:35 GMT 2023","19985","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"passed","Sat Feb 04 02:39:24 GMT 2023","Sat Feb 04 02:39:58 GMT 2023","34429","","","","","","корзина emk24 -- @1.2 ",""
"passed","Sat Feb 04 02:33:13 GMT 2023","Sat Feb 04 02:34:55 GMT 2023","102061","","","","","","a1-valves.com заказать звонок -- @1.1 ",""
"passed","Sat Feb 04 02:39:58 GMT 2023","Sat Feb 04 02:40:39 GMT 2023","41182","","","","","","корзина emk24 -- @1.3 ",""
"passed","Sat Feb 04 02:41:35 GMT 2023","Sat Feb 04 02:41:58 GMT 2023","23006","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"passed","Sat Feb 04 02:40:39 GMT 2023","Sat Feb 04 02:41:15 GMT 2023","35854","","","","","","корзина emk24 -- @1.4 ",""
"passed","Sat Feb 04 03:07:59 GMT 2023","Sat Feb 04 03:08:17 GMT 2023","18946","","","","","","Заказ сплава emk24 -- @1.4 ",""
"passed","Sat Feb 04 02:36:01 GMT 2023","Sat Feb 04 02:36:19 GMT 2023","17633","","","","","","emkmet_ru секция 2",""
"passed","Sat Feb 04 02:38:11 GMT 2023","Sat Feb 04 02:38:23 GMT 2023","11638","","","","","","railws.com оставить заявку -- @1.1 ",""
"passed","Sat Feb 04 02:41:58 GMT 2023","Sat Feb 04 02:42:22 GMT 2023","23639","","","","","","Купить в 1 клик emk24 -- @1.3 ",""
"passed","Sat Feb 04 03:06:58 GMT 2023","Sat Feb 04 03:07:20 GMT 2023","22218","","","","","","Заказ сплава emk24 -- @1.1 ",""
"passed","Sat Feb 04 02:34:55 GMT 2023","Sat Feb 04 02:35:05 GMT 2023","9793","","","","","","a1-valves.com заказать звонок -- @1.2 ",""
"passed","Sat Feb 04 02:42:22 GMT 2023","Sat Feb 04 02:42:44 GMT 2023","22145","","","","","","Купить в 1 клик emk24 -- @1.4 ",""
"passed","Sat Feb 04 02:46:12 GMT 2023","Sat Feb 04 02:47:56 GMT 2023","103671","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Sat Feb 04 02:58:05 GMT 2023","Sat Feb 04 02:59:52 GMT 2023","107517","","","","","","контакты emk24 -- @1.4 ",""
"passed","Sat Feb 04 02:42:44 GMT 2023","Sat Feb 04 02:44:28 GMT 2023","104256","","","","","","Заказать звонок emk24 -- @1.1 ",""
"passed","Sat Feb 04 02:35:31 GMT 2023","Sat Feb 04 02:35:49 GMT 2023","17133","","","","","","emkmet_ru секция 1 и 4 -- @1.1 ",""
"passed","Sat Feb 04 02:56:18 GMT 2023","Sat Feb 04 02:58:05 GMT 2023","106906","","","","","","контакты emk24 -- @1.3 ",""
"passed","Sat Feb 04 02:38:34 GMT 2023","Sat Feb 04 02:38:46 GMT 2023","11441","","","","","","railws.com оставить заявку -- @1.3 ",""
"passed","Sat Feb 04 02:59:52 GMT 2023","Sat Feb 04 03:00:08 GMT 2023","16313","","","","","","Заказать в 1 клик emk24 -- @1.1 ",""
"passed","Sat Feb 04 03:00:25 GMT 2023","Sat Feb 04 03:06:42 GMT 2023","377315","","","","","","Заказать в 1 клик emk24 -- @1.3 ",""
"passed","Sat Feb 04 03:07:20 GMT 2023","Sat Feb 04 03:07:40 GMT 2023","19833","","","","","","Заказ сплава emk24 -- @1.2 ",""
"passed","Sat Feb 04 02:38:23 GMT 2023","Sat Feb 04 02:38:34 GMT 2023","11565","","","","","","railws.com оставить заявку -- @1.2 ",""
