"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Проверка корзины emk24","","0","4","0","0","0"
"","Проверка сайта a1-valves.com","","0","0","4","0","0"
"","Проверка сайта railws.com","","0","0","4","0","0"
"","Проверка кнопки Купить в 1 клик","","0","4","0","0","0"
"","Проверка формы на странце контактов emk24","","0","0","4","0","0"
"","Проверка Заказ сплава emk24","","0","3","1","0","0"
"","Проверка кнопки Заказать в 1 клик emk24","","0","4","0","0","0"
"","Проверка кнопки заказать звонок emk24","","0","2","2","0","0"
"","Проверка вакансии emk24","","0","3","1","0","0"
"","Проверка сайта emkmet.ru","","0","2","2","0","0"
